BehaviorSpace results (NetLogo 4.1.1),,,,,,,,,Number of Trail Patrollers,Number of Foragers
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,17,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,19
,0,18,,,,,,,0,19
,0,18,,,,,,,0,19
,0,18,,,,,,,0,19
,0,17,,,,,,,0,19
,0,17,,,,,,,0,19
,0,17,,,,,,,0,19
,0,17,,,,,,,0,20
,0,17,,,,,,,0,20
,0,17,,,,,,,0,20
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,17,,,,,,,0,18
,0,19,,,,,,,0,18
,0,19,,,,,,,0,18
,0,19,,,,,,,0,18
,0,19,,,,,,,0,18
,0,19,,,,,,,0,18
,0,19,,,,,,,0,18
,0,19,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,17
,0,18,,,,,,,0,16
,0,18,,,,,,,0,16
,0,18,,,,,,,0,16
,0,17,,,,,,,0,16
,0,17,,,,,,,0,16
,0,17,,,,,,,0,16
,0,17,,,,,,,0,16
,0,17,,,,,,,0,16
,0,17,,,,,,,0,16
,0,17,,,,,,,0,16
,0,17,,,,,,,0,15
,0,17,,,,,,,0,14
,0,17,,,,,,,0,14
,0,17,,,,,,,0,14
,0,17,,,,,,,0,14
,0,17,,,,,,,0,14
,0,17,,,,,,,0,14
,0,16,,,,,,,0,14
,0,16,,,,,,,0,14
,0,16,,,,,,,0,14
